"My Cart","Carrello"
"Estimate Tax","Tasse Stimate"
"Estimate Shipping and Tax","Costo di spedizione stimato"
or,o
Menu,Menu
"Sign In","Accedi"
"Email Address","Indirizzo Email"
Password,Password
"Forgot Your Password?","Password Dimenticata?"
"Billing address","Indirizzo di fatturazione"
Edit,Modifica
"Save in address book","Salva in rubrica"
"My billing and shipping address are the same","Il mio indirizzo di spedizione e fatturazione coincidono"
"Estimated Total","Totale stimato"
"You can create an account after checkout.","Puoi creare un account dopo il checkout."
"You already have an account with us. Sign in or continue as guest.","Hai già creato un account. Accedi o continua come ospite."
Login,Login
"See Details","Vedi Dettagli"
"Options Details","Dettagli Opzioni"
Price,Prezzo
"See price before order confirmation.","Vedi il prezzo prima della conferma ordine."
Qty,Qta
Update,Aggiorna
Remove,Rimuovi
"Cart Subtotal","Subtotale Carrello"
"Payment Information","Informazioni Pagamento"
"No Payment method available.","Nessun metodo di pagamento disponibile."
"You can track your order status by creating an account.","Puoi tracciare lo status del tuo ordine creando un account."
"A letter with further instructions will be sent to your email.","Le istruzioni saranno inviate per email."
"Place Order","Concludi l'ordine"
"Forgot an Item?","Hai dimenticato un oggetto?"
"Edit Your Cart","Modifica il tuo carrello"
"Ship Here","Spedisci Qui"
"Ship To:","Spedisci a:"
edit,modifica
"Shipping Method:","Metodo di Spedizione:"
"Order Summary","Riepilogo Ordine"
"View and Edit Cart","Guarda e Modifica il Carrello"
"View Details","Vedi Dettagli"
"New Address","Nuovo Indirizzo"
"Are you sure you would like to remove this item from the shopping cart?","Sicuro di voler rimuovere questo oggetto dal tuo carrello?"
"Review & Payments","Riepilogo e Pagamento"
"Select a new payment method","Seleziona un nuovo metodo di pagamento"
Shipping,Spedizione
"Save Address","Saòva Indirizzo"
Cancel,Cancella
"Please specify a shipping method.","Specifica un metodo di spedizione."
"Account Dashboard","Dashboard Account"
"Address Book","Rubrica Indirizzi"
"Account Information","Informazioni Account"
Welcome,Benvenuto
login,login
Account,Account
sign-in,registrati
"Newsletter Subscriptions","Iscrizione alla Newsletter"
"Billing Agreements","Fatture"
"My Orders","Ordini"
"Skip to Content","Vai al contenuto"
"News of the Week","Novità della settimana"
"Allsongs Subscription","Iscrizione Allsongs"
M-Live,M-Live
"Songservice Magazine","Songservice Magazine"
Updates,Aggiornamenti
Compilations,Compilations
Medley,Medley
Faq,Faq
"Free Products","Prodotti Gratuiti"
Playlists,Playlists
"Song Service","Song Service"
"About Us","Chi Siamo"
"What is Songservice","Cos'è Songservice"
"Our dealers","I nostri rivenditori"
"Contact Us","Contattaci"
"Our products","I nostri prodotti"
"MIDI files quality","Qualità file MIDI"
"Digital Scores","Spartiti Digitali"
"Mp3 Tracks","Tracce Mp3"
Multitracks,Multitraccia
Informations,Informazioni
"Sales condition","Condizioni di vendita"
"How to buy","Come acquistare"
"Price and Discounts","Prezzi e Sconti"
"Payment method","Metodo di pagamento"
"Privacy notice","Informativa sulla Privacy"
"Cookies notice","Cookies notice"
